customer_id,total_orders,avg_order_value,days_since_last_order,app_opens,session_duration,cart_abandons
268,4,80.7,23,41,1.6,2
269,3,45.71,46,25,24.8,7
270,2,144.57,8,78,24.9,6
271,3,57.13,8,99,23.8,2
272,9,90.53,59,48,9.2,8
273,5,181.22,26,98,25.3,1
274,4,56.78,47,10,16.7,2
275,7,111.4,59,99,11.8,1
276,8,95.47,13,75,19.1,0
277,4,23.26,39,11,1.4,3
278,4,162.7,37,85,5.1,4
279,8,32.43,49,21,22.5,5
280,5,105.37,28,86,8.1,4
281,5,120.92,25,45,18.3,0
282,6,133.12,16,7,12.2,2
283,7,143.95,55,81,25.8,0
284,2,65.59,2,64,28.6,4
285,1,21.8,54,64,26.6,4
286,7,150.22,18,2,8.8,5
287,5,116.42,17,76,6.6,7
288,4,170.5,30,42,14.8,9
289,4,167.85,39,82,1.2,0
290,3,171.8,13,54,1.7,3
291,8,107.32,32,75,17.0,9
292,7,80.05,50,16,16.1,0
293,1,162.48,29,18,29.8,8
294,2,101.23,46,99,6.9,6
295,4,53.02,30,59,8.5,6
296,6,173.9,18,90,4.3,4
297,4,178.86,13,16,27.6,6
298,6,103.94,43,6,23.6,1
299,8,33.63,21,57,24.8,3
300,7,89.81,30,47,27.2,6
301,5,164.64,21,48,16.2,2
302,2,182.32,48,42,14.1,1
303,1,56.63,55,76,10.6,9
304,7,32.06,17,60,18.1,1
305,4,177.92,40,77,14.2,0
306,1,90.09,19,4,14.1,4
307,6,117.52,52,2,28.2,5
308,5,194.25,15,90,29.5,5
309,8,31.98,9,59,24.1,8
310,5,136.7,52,27,22.9,3
311,4,33.34,10,27,20.7,0
312,10,87.58,44,79,5.8,5
313,7,164.69,31,72,2.7,4
314,4,98.03,53,7,21.0,9
315,8,199.49,23,63,22.1,5
316,5,120.63,52,46,2.4,2
317,5,77.81,30,63,27.9,1
318,5,59.62,33,12,3.6,5
319,2,83.09,57,13,9.3,0
320,3,87.06,52,43,20.5,6
321,4,32.37,9,17,5.9,6
322,9,86.52,54,63,2.6,9
323,0,103.56,47,81,10.6,6
324,5,150.09,1,36,23.2,9
325,5,138.21,44,85,13.0,0
326,5,147.58,35,8,19.9,3
327,5,21.51,11,69,17.8,6
328,4,59.18,34,90,1.6,8
329,9,139.1,16,80,29.7,4
330,6,107.12,9,36,2.2,1
331,2,20.96,32,28,29.1,6
332,6,164.81,15,93,16.9,9
333,6,159.11,12,47,28.9,0
334,6,118.72,33,76,4.3,6
335,5,31.96,45,30,15.2,5
336,2,157.97,14,23,5.9,6
337,5,125.07,57,16,2.5,9
338,3,160.75,57,14,18.9,2
339,3,155.31,8,74,7.0,2
340,3,164.54,8,71,18.0,6
341,6,113.24,27,52,4.3,1
342,6,45.26,12,37,10.6,0
343,4,140.81,1,29,23.7,8
344,5,131.69,43,67,13.7,8
345,5,153.61,40,15,19.2,6
346,7,50.58,42,47,19.8,6
347,5,55.1,51,46,25.5,2
348,3,180.27,11,52,10.4,9
349,4,155.0,39,19,20.9,1
350,7,183.48,43,77,28.9,6
351,5,156.57,31,21,22.2,8
352,7,127.49,17,64,15.2,0
353,8,137.74,33,37,19.3,3
354,7,180.04,32,27,22.5,5
355,5,124.19,58,55,18.8,6
356,8,133.83,29,29,1.5,9
357,4,48.17,21,20,6.6,6
358,6,105.31,21,25,24.5,9
359,8,148.95,40,70,8.9,1
360,6,68.77,23,63,22.2,3
361,3,56.41,56,36,11.8,4
362,8,76.49,6,2,16.1,0
363,4,63.47,22,22,3.0,0
364,7,58.68,50,96,6.3,9
365,2,96.47,38,16,28.8,2
366,10,183.41,37,18,26.8,9
367,6,111.27,45,69,19.9,2
368,4,53.83,51,54,14.3,7
369,5,33.85,54,30,20.6,8
370,6,145.31,8,45,18.9,0
371,4,88.9,41,19,17.5,1
372,5,167.93,49,87,2.7,9
373,6,138.71,35,34,19.4,1
374,3,163.32,51,13,23.3,3
375,7,68.95,11,43,29.8,1
376,7,144.62,24,62,1.3,6
377,8,67.53,49,93,22.2,8
378,4,189.03,21,22,17.6,6
379,7,134.55,51,52,13.6,5
380,3,78.41,2,52,4.7,9
381,4,68.51,40,36,12.9,0
382,4,54.37,19,73,11.3,9
383,0,145.04,39,19,9.8,8
384,1,59.37,28,38,22.2,4
385,1,127.15,59,70,21.3,4
386,7,67.63,17,79,18.1,5
387,5,139.15,6,57,28.2,8
388,5,166.69,19,20,11.1,7
389,8,160.04,56,9,8.1,7
390,3,156.95,38,32,20.0,7
391,5,53.79,28,4,6.8,0
392,3,35.91,2,50,10.1,0
393,5,145.81,38,82,7.5,7
394,1,86.3,55,5,3.0,4
395,7,97.82,37,20,25.0,8
396,2,25.61,51,87,8.4,1
397,4,66.72,52,75,14.7,8
398,6,26.06,4,37,2.3,7
399,7,178.25,22,22,21.3,8
400,9,63.81,26,58,10.6,3
401,4,120.32,49,68,22.6,0
402,1,27.02,43,93,13.0,0
403,4,140.03,36,44,6.7,4
404,6,78.14,58,34,15.9,1
405,3,181.63,13,77,4.8,7
406,4,179.86,52,42,13.8,9
407,2,78.55,58,9,10.2,4
408,6,182.17,32,95,27.4,4
409,8,199.31,17,7,2.8,1
410,7,168.57,41,68,21.1,6
411,2,172.08,36,19,6.3,7
412,6,64.82,55,94,10.3,9
413,9,123.81,46,31,13.0,0
414,3,32.11,19,35,27.3,1
415,8,37.09,58,57,8.0,9
416,7,199.8,35,85,3.6,3
417,6,78.8,46,61,10.2,4
418,10,154.67,40,31,4.0,1
419,5,165.2,56,83,4.7,0
420,5,174.44,59,95,17.6,8
421,5,199.57,28,53,2.8,0
422,5,63.47,1,32,1.9,3
423,4,27.26,42,66,21.7,1
424,10,94.01,18,59,11.5,3
425,3,43.41,48,10,4.6,7
426,2,24.04,40,2,8.4,7
427,6,84.88,33,66,19.6,8
428,4,161.07,12,60,9.0,4
429,4,121.91,8,88,15.3,6
430,8,76.3,24,17,4.5,2
431,5,137.78,16,96,18.1,9
432,4,61.76,50,16,10.2,3
433,7,22.59,4,16,19.2,9
434,4,157.58,38,46,24.4,8
435,2,132.27,44,39,18.7,9
436,2,157.21,27,31,9.6,9
437,3,27.01,9,88,8.4,0
438,3,170.68,47,1,10.5,1
439,8,131.51,16,11,5.8,4
440,6,121.41,56,85,6.3,2
441,0,132.43,12,4,23.9,1
442,8,175.6,31,71,12.2,0
443,5,125.65,24,26,13.6,9
444,4,124.57,55,50,18.2,2
445,5,198.32,14,12,18.1,0
446,7,156.21,45,95,3.0,0
447,6,99.61,25,81,25.1,0
448,3,147.33,34,97,6.1,7
449,4,90.06,3,75,22.0,2
450,2,61.2,58,92,23.4,0
451,4,127.43,24,96,21.7,6
452,1,187.07,54,65,17.8,9
453,9,187.25,42,47,1.4,2
454,3,81.54,9,92,11.5,7
455,1,114.98,26,53,18.5,3
456,5,58.09,20,71,12.2,3
457,4,199.21,40,2,26.0,4
458,6,196.6,10,24,10.0,5
459,5,136.91,19,4,9.5,6
460,8,164.79,3,19,8.7,3
461,5,148.72,24,26,10.7,7
462,7,126.77,5,75,17.2,5
463,4,29.6,3,40,21.5,0
464,1,101.86,58,50,20.2,0
465,5,141.46,27,43,24.4,8
466,4,141.96,16,75,26.7,9
467,3,87.16,49,67,24.7,5
468,2,189.5,15,12,1.5,9
469,12,50.12,35,67,22.3,7
470,5,110.06,12,27,7.0,6
471,10,144.36,41,54,4.9,5
472,6,145.48,53,66,19.5,3
473,1,136.76,44,49,10.3,6
474,6,69.55,26,16,2.7,8
475,2,48.12,47,2,5.0,9
476,4,134.47,34,60,1.0,9
477,5,127.87,23,54,27.2,6
478,8,52.28,31,30,1.7,0
479,4,146.93,50,84,7.1,9
480,2,101.93,20,38,13.1,8
481,1,140.2,12,28,11.3,3
482,8,170.73,23,25,27.4,2
483,8,50.55,4,96,2.2,3
484,4,23.45,23,10,15.9,3
485,1,160.24,48,60,20.7,9
486,9,129.75,55,42,28.0,1
487,4,145.94,48,40,19.0,0
488,2,170.87,1,97,24.3,9
489,4,164.51,54,77,3.4,0
490,3,192.97,25,42,12.2,7
491,8,116.47,2,47,11.8,1
492,9,107.93,30,37,26.7,9
493,4,92.34,3,80,5.4,4
494,4,47.66,58,22,5.4,3
495,5,123.07,21,57,10.5,7
496,11,69.86,25,84,2.6,1
497,8,185.84,20,27,6.3,9
498,6,124.97,49,41,29.0,8
499,2,126.71,52,80,13.4,6
500,8,83.89,22,34,19.3,6
